RiderID,RiderName,City,VehicleType,ExperienceYears,Rating
R0093,Bharath P,Hyderabad,Bike,7,3.7
R0094,Gokul P,Chennai,Scooter,9,5
R0095,Suresh P,Chennai,Bike,1,3.8
R0096,Yash P,Pune,Scooter,9,4.8
R0097,Rakesh P,Mumbai,Bike,10,4.6
R0098,Mohan P,Chennai,Scooter,1,4.2
R0099,Ashwin P,Hyderabad,Bike,2,4.2
R0100,Dinesh P,Mumbai,Bike,10,4.5
R0101,Akash V,Chennai,Bike,7,4
R0102,Vignesh V,Pune,Scooter,4,3.7
R0103,Praveen V,Pune,Bike,3,4.3
R0104,Sanjay V,Hyderabad,Scooter,6,4.8
R0105,Manoj V,Mumbai,Bike,3,4.7
R0106,Arun V,Bengaluru,Scooter,6,3.7
R0107,Naveen V,Mumbai,Scooter,9,4
R0108,Hari V,Chennai,Scooter,9,4.7
R0109,Deepak V,Hyderabad,Scooter,2,4.2
R0110,Lokesh V,Bengaluru,Scooter,5,4.3
R0111,Ajay V,Bengaluru,Bike,8,4.3
R0112,Kiran V,Hyderabad,Scooter,1,4.2
R0113,Bharath V,Pune,Bike,6,4
R0114,Gokul V,Hyderabad,Bike,1,3.5
R0115,Suresh V,Hyderabad,Scooter,10,4.2
R0116,Yash V,Mumbai,Scooter,9,4.1
R0117,Rakesh V,Chennai,Scooter,3,4.7
R0118,Mohan V,Hyderabad,Scooter,3,3.5
R0119,Ashwin V,Bengaluru,Bike,5,3.6
R0120,Dinesh V,Hyderabad,Scooter,4,4.8
R0121,Akash T,Chennai,Bike,5,4.3
R0122,Vignesh T,Hyderabad,Bike,8,4.4
R0123,Praveen T,Hyderabad,Bike,7,4.8
R0124,Sanjay T,Mumbai,Bike,3,4.8
R0125,Manoj T,Bengaluru,Scooter,8,4
R0126,Arun T,Mumbai,Bike,8,4.2
R0127,Naveen T,Chennai,Bike,9,4.6
R0128,Hari T,Bengaluru,Bike,7,4.1
R0129,Deepak T,Mumbai,Bike,1,4.1
R0130,Lokesh T,Chennai,Bike,3,4.3
R0131,Ajay T,Chennai,Bike,5,4.1
R0132,Kiran T,Mumbai,Bike,3,4.5
R0133,Bharath T,Chennai,Scooter,3,5
R0134,Gokul T,Mumbai,Scooter,4,4.1
R0135,Suresh T,Chennai,Bike,10,4.1
R0136,Yash T,Chennai,Scooter,10,4.9
R0137,Rakesh T,Pune,Scooter,5,4.4
R0138,Mohan T,Pune,Bike,7,4.3
R0139,Ashwin T,Pune,Bike,4,4
R0140,Dinesh T,Mumbai,Bike,9,3.8
R0141,Akash N,Hyderabad,Bike,1,3.9
R0142,Vignesh N,Mumbai,Bike,5,4.9
R0143,Praveen N,Chennai,Bike,4,4.5
R0144,Sanjay N,Bengaluru,Scooter,9,3.7
R0145,Manoj N,Hyderabad,Bike,4,4.8
R0146,Arun N,Pune,Bike,4,4
R0147,Naveen N,Hyderabad,Bike,10,4.4
R0148,Hari N,Bengaluru,Bike,2,4.9
R0149,Deepak N,Bengaluru,Bike,7,4.6
R0150,Lokesh N,Hyderabad,Bike,7,4.3
R0151,Ajay N,Chennai,Bike,7,4.3
R0152,Kiran N,Pune,Bike,9,3.6
R0153,Bharath N,Chennai,Bike,1,3.7
R0154,Gokul N,Hyderabad,Bike,2,4.4
R0155,Suresh N,Hyderabad,Scooter,10,4.6
R0156,Yash N,Pune,Bike,9,3.6
R0157,Rakesh N,Pune,Bike,1,4.8
R0158,Mohan N,Pune,Scooter,4,3.6
R0159,Ashwin N,Pune,Scooter,4,4.4
R0160,Dinesh N,Chennai,Scooter,2,3.8
R0161,Akash A,Hyderabad,Scooter,1,4.8
R0162,Vignesh A,Pune,Scooter,3,3.9
R0163,Praveen A,Mumbai,Bike,9,4.4
R0164,Sanjay A,Chennai,Scooter,4,4.9
R0165,Manoj A,Chennai,Bike,1,4.8
R0166,Arun A,Pune,Scooter,2,3.6
R0167,Naveen A,Pune,Scooter,1,4.4
R0168,Hari A,Bengaluru,Bike,6,4.9
R0169,Deepak A,Bengaluru,Scooter,9,4.6
R0170,Lokesh A,Chennai,Bike,3,3.9
R0171,Ajay A,Bengaluru,Scooter,3,3.9
R0172,Kiran A,Hyderabad,Bike,9,3.6
R0173,Bharath A,Mumbai,Bike,7,4.1
R0174,Gokul A,Mumbai,Bike,9,4.7
R0175,Suresh A,Chennai,Bike,4,4.5
R0176,Yash A,Chennai,Bike,4,4.2
R0177,Rakesh A,Bengaluru,Bike,5,3.6
R0178,Mohan A,Mumbai,Bike,9,3.6
R0179,Ashwin A,Pune,Scooter,5,4.7
R0180,Dinesh A,Mumbai,Scooter,5,4.6
R0181,Akash L,Hyderabad,Bike,5,4.2
R0182,Vignesh L,Mumbai,Bike,4,4.9
R0183,Praveen L,Hyderabad,Scooter,4,4.4
R0184,Sanjay L,Bengaluru,Scooter,1,4
R0185,Manoj L,Bengaluru,Bike,5,4.6
R0186,Arun L,Bengaluru,Scooter,3,4.9
R0187,Naveen L,Pune,Scooter,7,3.5
R0188,Hari L,Chennai,Bike,4,4.1
R0189,Deepak L,Bengaluru,Bike,5,4.7
R0190,Lokesh L,Chennai,Bike,1,4.3
R0191,Ajay L,Bengaluru,Scooter,9,4.5
R0192,Kiran L,Mumbai,Scooter,8,4.8
R0193,Bharath L,Pune,Scooter,4,4.9
R0194,Gokul L,Bengaluru,Bike,9,4.7
R0195,Suresh L,Hyderabad,Scooter,8,3.8
R0196,Yash L,Chennai,Bike,6,3.8
R0197,Rakesh L,Pune,Bike,8,4
R0198,Mohan L,Bengaluru,Scooter,2,4.7
R0199,Ashwin L,Mumbai,Bike,4,4.9
R0200,Dinesh L,Hyderabad,Bike,2,3.9
R0201,Akash K,Hyderabad,Bike,2,4.7
R0202,Vignesh K,Chennai,Bike,3,3.6
R0203,Praveen K,Bengaluru,Scooter,5,3.5
R0204,Sanjay K,Chennai,Bike,3,4
R0205,Manoj K,Hyderabad,Bike,3,4.9
R0206,Arun K,Mumbai,Scooter,9,4.7
R0207,Naveen K,Hyderabad,Bike,10,4
R0208,Hari K,Bengaluru,Scooter,2,3.7
R0209,Deepak K,Hyderabad,Scooter,4,3.8
R0210,Lokesh K,Pune,Scooter,7,3.7
R0211,Ajay K,Pune,Bike,3,4.2
R0212,Kiran K,Mumbai,Scooter,10,3.7
R0213,Bharath K,Pune,Scooter,8,4.5
R0214,Gokul K,Bengaluru,Bike,1,4.8
R0215,Suresh K,Mumbai,Scooter,3,4
R0216,Yash K,Chennai,Scooter,10,4.7
R0217,Rakesh K,Bengaluru,Scooter,6,4
R0218,Mohan K,Pune,Scooter,5,4.3
R0219,Ashwin K,Chennai,Bike,3,3.7
R0220,Dinesh K,Mumbai,Scooter,10,4.8
R0221,Akash R,Mumbai,Bike,2,3.5
R0222,Vignesh R,Hyderabad,Bike,9,4.6
R0223,Praveen R,Chennai,Bike,2,4.3
R0224,Sanjay R,Hyderabad,Bike,4,3.7
R0225,Manoj R,Mumbai,Scooter,10,4.6
R0226,Arun R,Mumbai,Scooter,1,3.9
R0227,Naveen R,Bengaluru,Scooter,9,3.7
R0228,Hari R,Pune,Bike,2,4.1
R0229,Deepak R,Hyderabad,Scooter,3,4.1
R0230,Lokesh R,Bengaluru,Bike,3,4
R0231,Ajay R,Bengaluru,Bike,3,3.7
R0232,Kiran R,Bengaluru,Bike,9,3.9
R0233,Bharath R,Mumbai,Bike,10,3.8
R0234,Gokul R,Hyderabad,Scooter,10,4.3
R0235,Suresh R,Mumbai,Scooter,10,3.9
R0236,Yash R,Hyderabad,Bike,1,4.9
R0237,Rakesh R,Chennai,Bike,8,3.7
R0238,Mohan R,Bengaluru,Bike,7,4.2
R0239,Ashwin R,Pune,Scooter,5,4.1
R0240,Dinesh R,Mumbai,Scooter,6,3.9
R0241,Akash S,Hyderabad,Scooter,4,4.2
R0242,Vignesh S,Mumbai,Scooter,8,4.5
R0243,Praveen S,Pune,Bike,2,4.9
R0244,Sanjay S,Pune,Bike,7,3.9
R0245,Manoj S,Mumbai,Scooter,4,4.5
R0246,Arun S,Bengaluru,Bike,1,4
R0247,Naveen S,Mumbai,Bike,10,4.2
R0248,Hari S,Pune,Bike,4,4.2
R0249,Deepak S,Chennai,Bike,5,4.6
R0250,Lokesh S,Hyderabad,Scooter,10,4.3
R0251,Ajay S,Bengaluru,Bike,6,4.8
R0252,Kiran S,Mumbai,Scooter,3,4.4
R0253,Bharath S,Hyderabad,Scooter,6,4.8
R0254,Gokul S,Mumbai,Scooter,2,3.7
R0255,Suresh S,Hyderabad,Scooter,9,3.6
R0256,Yash S,Pune,Bike,6,4.1
R0257,Rakesh S,Bengaluru,Scooter,3,4.4
R0258,Mohan S,Pune,Bike,6,4.8
R0259,Ashwin S,Hyderabad,Scooter,7,4.9
R0260,Dinesh S,Mumbai,Bike,7,4.3
R0261,Akash M,Hyderabad,Bike,6,4.6
R0262,Vignesh M,Bengaluru,Bike,2,4.4
R0263,Praveen M,Hyderabad,Bike,4,4.3
R0264,Sanjay M,Hyderabad,Scooter,2,4.8
R0265,Manoj M,Bengaluru,Scooter,10,4.7
R0266,Arun M,Hyderabad,Bike,2,4.7
R0267,Naveen M,Chennai,Scooter,8,4.1
R0268,Hari M,Chennai,Scooter,6,3.9
R0269,Deepak M,Pune,Bike,10,4.7
R0270,Lokesh M,Hyderabad,Bike,9,4.8
R0271,Ajay M,Bengaluru,Scooter,10,4.1
R0272,Kiran M,Chennai,Bike,9,4.2
R0273,Bharath M,Pune,Scooter,6,4.1
R0274,Gokul M,Mumbai,Scooter,8,4.4
R0275,Suresh M,Pune,Scooter,8,4
R0276,Yash M,Bengaluru,Bike,2,4.1
R0277,Rakesh M,Mumbai,Scooter,10,4.9
R0278,Mohan M,Mumbai,Scooter,1,4.4
R0279,Ashwin M,Bengaluru,Bike,5,4.5
R0280,Dinesh M,Pune,Scooter,2,3.6
R0281,Akash P,Hyderabad,Bike,4,4.8
R0282,Vignesh P,Pune,Scooter,7,3.6
R0283,Praveen P,Hyderabad,Bike,10,3.7
R0284,Sanjay P,Mumbai,Bike,7,3.8
R0285,Manoj P,Bengaluru,Scooter,1,4.3
R0286,Arun P,Chennai,Bike,9,4.6
R0287,Naveen P,Chennai,Bike,5,4.9
R0288,Hari P,Pune,Bike,6,3.6
R0289,Deepak P,Pune,Bike,2,4.4
R0290,Lokesh P,Bengaluru,Scooter,1,4.9
R0291,Ajay P,Bengaluru,Bike,9,3.8
R0292,Kiran P,Pune,Scooter,4,4.2
R0293,Bharath P,Pune,Bike,3,4.8
R0294,Gokul P,Hyderabad,Bike,4,3.9
R0295,Suresh P,Chennai,Scooter,8,4.5
R0296,Yash P,Mumbai,Bike,5,5
R0297,Rakesh P,Chennai,Scooter,5,3.9
R0298,Mohan P,Hyderabad,Scooter,7,4
R0299,Ashwin P,Bengaluru,Bike,4,4.3
R0300,Dinesh P,Bengaluru,Scooter,1,3.7
R0301,Akash V,Chennai,Bike,6,4.1
R0302,Vignesh V,Hyderabad,Scooter,10,3.7
R0303,Praveen V,Pune,Scooter,7,4
R0304,Sanjay V,Chennai,Bike,4,4.9
R0305,Manoj V,Chennai,Bike,8,4.2
R0306,Arun V,Chennai,Bike,2,3.7
R0307,Naveen V,Hyderabad,Scooter,3,4.2
R0308,Hari V,Pune,Scooter,2,4.8
R0309,Deepak V,Hyderabad,Bike,6,4.1
R0310,Lokesh V,Bengaluru,Bike,4,4.9
R0311,Ajay V,Mumbai,Scooter,1,4.3
R0312,Kiran V,Pune,Scooter,4,4.2
R0313,Bharath V,Mumbai,Scooter,1,4.2
R0314,Gokul V,Chennai,Bike,5,4
R0315,Suresh V,Pune,Bike,5,3.8
R0316,Yash V,Pune,Scooter,9,4.9
R0317,Rakesh V,Mumbai,Scooter,3,4.1
R0318,Mohan V,Bengaluru,Scooter,6,4.4
R0319,Ashwin V,Chennai,Scooter,8,4.5
R0320,Dinesh V,Bengaluru,Scooter,6,4.8
R0321,Akash T,Hyderabad,Scooter,9,3.8
R0322,Vignesh T,Chennai,Bike,5,4.4
R0323,Praveen T,Mumbai,Scooter,1,3.7
R0324,Sanjay T,Mumbai,Scooter,2,3.9
R0325,Manoj T,Hyderabad,Bike,5,4.1
R0326,Arun T,Mumbai,Scooter,6,4.7
R0327,Naveen T,Hyderabad,Scooter,6,4.1
R0328,Hari T,Mumbai,Bike,9,4
R0329,Deepak T,Bengaluru,Scooter,7,4.4
R0330,Lokesh T,Bengaluru,Bike,3,4.1
R0331,Ajay T,Chennai,Bike,7,3.7
R0332,Kiran T,Bengaluru,Bike,5,4.6
R0333,Bharath T,Bengaluru,Bike,8,4.6
R0334,Gokul T,Bengaluru,Bike,5,4.1
R0335,Suresh T,Hyderabad,Scooter,2,4.2
R0336,Yash T,Bengaluru,Bike,8,4.4
R0337,Rakesh T,Hyderabad,Scooter,10,4.6
R0338,Mohan T,Pune,Scooter,7,3.9
R0339,Ashwin T,Mumbai,Scooter,8,4.9
R0340,Dinesh T,Chennai,Bike,9,4.3
R0341,Akash N,Mumbai,Bike,8,4.2
R0342,Vignesh N,Bengaluru,Bike,3,4.7
R0343,Praveen N,Bengaluru,Scooter,5,4.1
R0344,Sanjay N,Hyderabad,Bike,2,3.5
R0345,Manoj N,Pune,Scooter,8,4.3
R0346,Arun N,Hyderabad,Scooter,3,4.9
R0347,Naveen N,Hyderabad,Bike,8,4.5
R0348,Hari N,Pune,Bike,9,4.4
R0349,Deepak N,Bengaluru,Scooter,1,4.4
R0350,Lokesh N,Chennai,Bike,4,3.9
R0351,Ajay N,Mumbai,Scooter,1,4.8
R0352,Kiran N,Pune,Scooter,1,3.8
R0353,Bharath N,Pune,Scooter,1,4
R0354,Gokul N,Chennai,Scooter,4,4.7
R0355,Suresh N,Chennai,Bike,9,3.8
R0356,Yash N,Chennai,Bike,7,4.3
R0357,Rakesh N,Hyderabad,Bike,2,3.9
R0358,Mohan N,Chennai,Scooter,4,3.6
R0359,Ashwin N,Mumbai,Bike,6,3.8
R0360,Dinesh N,Pune,Scooter,2,4.2
R0361,Akash A,Pune,Bike,6,4.1
R0362,Vignesh A,Hyderabad,Bike,5,4
R0363,Praveen A,Mumbai,Bike,10,4.1
R0364,Sanjay A,Chennai,Scooter,9,4.9
R0365,Manoj A,Hyderabad,Bike,2,3.6
R0366,Arun A,Chennai,Scooter,5,4.9
R0367,Naveen A,Bengaluru,Bike,9,5
R0368,Hari A,Pune,Bike,9,4
R0369,Deepak A,Pune,Scooter,4,4.4
R0370,Lokesh A,Bengaluru,Bike,4,3.8
R0371,Ajay A,Hyderabad,Bike,7,4.1
R0372,Kiran A,Bengaluru,Bike,3,4.1
R0373,Bharath A,Pune,Bike,7,3.7
R0374,Gokul A,Pune,Bike,3,4.2
R0375,Suresh A,Bengaluru,Bike,9,4.5
R0376,Yash A,Hyderabad,Bike,6,4.5
R0377,Rakesh A,Pune,Scooter,10,4.8
R0378,Mohan A,Hyderabad,Scooter,7,3.6
R0379,Ashwin A,Hyderabad,Scooter,1,4.3
R0380,Dinesh A,Mumbai,Scooter,1,4
R0381,Akash L,Chennai,Scooter,5,4.3
R0382,Vignesh L,Bengaluru,Scooter,10,3.6
R0383,Praveen L,Pune,Bike,2,4.7
R0384,Sanjay L,Hyderabad,Bike,10,4.6
R0385,Manoj L,Hyderabad,Bike,10,4.4
R0386,Arun L,Chennai,Bike,4,3.9
R0387,Naveen L,Chennai,Scooter,8,4.6
R0388,Hari L,Chennai,Scooter,6,4.2
R0389,Deepak L,Mumbai,Bike,6,4.3
R0390,Lokesh L,Hyderabad,Bike,8,4.1
R0391,Ajay L,Bengaluru,Bike,9,4.3
R0392,Kiran L,Hyderabad,Bike,10,4.2
R0393,Bharath L,Chennai,Scooter,8,4.7
R0394,Gokul L,Bengaluru,Bike,2,3.7
R0395,Suresh L,Pune,Scooter,6,3.7
R0396,Yash L,Pune,Scooter,3,4.8
R0397,Rakesh L,Chennai,Scooter,4,4.9
R0398,Mohan L,Hyderabad,Bike,5,3.9
R0399,Ashwin L,Chennai,Scooter,8,3.7
R0400,Dinesh L,Mumbai,Bike,10,4.2
R0401,Akash K,Mumbai,Bike,1,4.1
R0402,Vignesh K,Mumbai,Bike,4,4
R0403,Praveen K,Mumbai,Scooter,1,4.7
R0404,Sanjay K,Chennai,Bike,3,4.5
R0405,Manoj K,Chennai,Bike,8,4.6
R0406,Arun K,Chennai,Scooter,2,3.5
R0407,Naveen K,Hyderabad,Scooter,7,3.9
R0408,Hari K,Pune,Bike,4,3.9
R0409,Deepak K,Bengaluru,Bike,5,3.7
R0410,Lokesh K,Mumbai,Scooter,1,4.1
R0411,Ajay K,Hyderabad,Scooter,4,3.9
R0412,Kiran K,Chennai,Scooter,10,3.7
R0413,Bharath K,Mumbai,Bike,6,4.2
R0414,Gokul K,Pune,Bike,4,4.8
R0415,Suresh K,Hyderabad,Scooter,5,3.8
R0416,Yash K,Chennai,Bike,4,3.8
R0417,Rakesh K,Pune,Bike,9,4.1
R0418,Mohan K,Chennai,Scooter,10,4.3
R0419,Ashwin K,Chennai,Bike,4,3.6
R0420,Dinesh K,Hyderabad,Bike,4,4.7
R0421,Akash R,Bengaluru,Bike,2,4.6
R0422,Vignesh R,Hyderabad,Bike,4,4.7
R0423,Praveen R,Bengaluru,Bike,1,3.7
R0424,Sanjay R,Pune,Bike,2,3.7
R0425,Manoj R,Mumbai,Scooter,2,3.9
R0426,Arun R,Hyderabad,Bike,6,4.8
R0427,Naveen R,Mumbai,Scooter,1,4.3
R0428,Hari R,Hyderabad,Bike,6,4.7
R0429,Deepak R,Bengaluru,Bike,4,4
R0430,Lokesh R,Chennai,Scooter,8,4.3
R0431,Ajay R,Hyderabad,Bike,7,4.9
R0432,Kiran R,Mumbai,Bike,4,4.3
R0433,Bharath R,Bengaluru,Bike,3,4.3
R0434,Gokul R,Pune,Bike,3,4.3
R0435,Suresh R,Hyderabad,Bike,5,4.4
R0436,Yash R,Hyderabad,Scooter,8,4.3
R0437,Rakesh R,Pune,Scooter,5,4.6
R0438,Mohan R,Bengaluru,Bike,7,4.6
R0439,Ashwin R,Hyderabad,Scooter,3,4.6
R0440,Dinesh R,Bengaluru,Scooter,3,4.6
R0441,Akash S,Hyderabad,Scooter,6,3.7
R0442,Vignesh S,Hyderabad,Scooter,9,4.1
R0443,Praveen S,Hyderabad,Scooter,9,4.4
R0444,Sanjay S,Pune,Scooter,7,3.8
R0445,Manoj S,Chennai,Bike,3,3.7
R0446,Arun S,Hyderabad,Bike,9,4.9
R0447,Naveen S,Mumbai,Bike,2,4.4
R0448,Hari S,Bengaluru,Scooter,5,4.2
R0449,Deepak S,Hyderabad,Bike,2,4.4
R0450,Lokesh S,Bengaluru,Bike,5,4.4
R0451,Ajay S,Mumbai,Scooter,7,3.9
R0452,Kiran S,Hyderabad,Scooter,3,4.6
R0453,Bharath S,Bengaluru,Bike,7,3.6
R0454,Gokul S,Bengaluru,Bike,9,4.6
R0455,Suresh S,Pune,Scooter,2,4.4
R0456,Yash S,Mumbai,Scooter,2,4.9
R0457,Rakesh S,Mumbai,Scooter,2,4.6
R0458,Mohan S,Mumbai,Scooter,6,4.2
R0459,Ashwin S,Bengaluru,Scooter,8,3.7
R0460,Dinesh S,Bengaluru,Bike,2,4.8
R0461,Akash M,Pune,Scooter,1,3.9
R0462,Vignesh M,Mumbai,Bike,5,4.1
R0463,Praveen M,Pune,Bike,8,4.6
R0464,Sanjay M,Pune,Scooter,5,4.4
R0465,Manoj M,Chennai,Bike,9,3.9
R0466,Arun M,Bengaluru,Scooter,1,4.1
R0467,Naveen M,Bengaluru,Bike,3,4.9
R0468,Hari M,Bengaluru,Scooter,7,3.8
R0469,Deepak M,Chennai,Bike,6,4.5
R0470,Lokesh M,Mumbai,Bike,10,5
R0471,Ajay M,Hyderabad,Bike,10,4.5
R0472,Kiran M,Hyderabad,Bike,3,4.3
R0473,Bharath M,Mumbai,Scooter,1,3.9
R0474,Gokul M,Hyderabad,Scooter,6,3.7
R0475,Suresh M,Mumbai,Bike,3,4.1
R0476,Yash M,Bengaluru,Bike,5,4.7
R0477,Rakesh M,Mumbai,Bike,6,4.9
R0478,Mohan M,Chennai,Bike,5,3.8
R0479,Ashwin M,Mumbai,Bike,8,3.5
R0480,Dinesh M,Hyderabad,Bike,1,3.8
R0481,Akash P,Pune,Scooter,8,4.5
R0482,Vignesh P,Hyderabad,Scooter,1,3.9
R0483,Praveen P,Chennai,Scooter,5,4.3
R0484,Sanjay P,Bengaluru,Scooter,7,4.7
R0485,Manoj P,Mumbai,Scooter,5,4.8
R0486,Arun P,Pune,Scooter,3,3.8
R0487,Naveen P,Bengaluru,Scooter,5,4.9
R0488,Hari P,Hyderabad,Bike,10,4
R0489,Deepak P,Pune,Scooter,5,3.5
R0490,Lokesh P,Chennai,Bike,3,4.7
R0491,Ajay P,Chennai,Bike,4,4
R0492,Kiran P,Hyderabad,Scooter,5,4.8
R0493,Bharath P,Bengaluru,Scooter,4,4.8
R0494,Gokul P,Pune,Bike,6,4.1
R0495,Suresh P,Pune,Scooter,2,4.2
R0496,Yash P,Pune,Bike,6,3.7
R0497,Rakesh P,Mumbai,Bike,9,4.7
R0498,Mohan P,Mumbai,Scooter,2,4.4
R0499,Ashwin P,Bengaluru,Scooter,2,4
R0500,Dinesh P,Hyderabad,Scooter,9,4.6
